idx,mb_id,ord_no,ord_status,recipe_type,use_point,ord_date
108527,v365khfs,230716-1435-52904,DI,P,938,2023-07-16 14:35
108429,mystictm,230715-1253-28366,C,P,19984,2023-07-15 12:53
107654,365khfs,230712-0157-38030,DI,T,17190,2023-07-12 1:57
107653,365khfs,230712-0059-20920,DI,T,17190,2023-07-12 0:59
107652,365khfs,230712-0040-10586,DI,T,17190,2023-07-12 0:40
107455,365khfs,230711-1134-24537,DI,T,17190,2023-07-11 11:34
107453,365khfs,230711-1132-58406,DI,T,17190,2023-07-11 11:32
107449,365khfs,230711-1131-25836,DI,T,17190,2023-07-11 11:31
107384,365khfs,230711-1013-39291,DI,P,44266,2023-07-11 10:13
107361,365khfs,230711-0930-14865,DI,T,44266,2023-07-11 9:30
107344,365khfs,230710-2345-36135,DI,T,44266,2023-07-10 23:45
107341,365khfs,230710-2246-15341,DI,T,44266,2023-07-10 22:46
107336,365khfs,230710-2218-47767,DI,T,44266,2023-07-10 22:18
106903,365khfs,230708-1804-45047,C,P,22133,2023-07-08 18:04
106902,365khfs,230708-1800-19693,DI,T,22133,2023-07-08 18:00
106901,365khfs,230708-1725-45680,DI,T,22133,2023-07-08 17:25
106217,beomeo_sm,230705-2033-35023,C,T,24234,2023-07-05 20:33
106059,mystictm,230705-1137-47164,DI,P,63986,2023-07-05 11:37
105946,inaepc,230704-1908-16281,DI,T,39660,2023-07-04 19:08
105864,icn_seolmyeong,230704-1435-15819,DI,P,12000,2023-07-04 14:35
